Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
When no record is selected and delete button is clicked the delete action is executed and no record is deleted,RET-127,10155,Bug,To Do,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:56 PM,08/Sep/21 8:50 PM,09/Sep/21 4:55 AM,,,0,"Description:

When no record is selected and delete button is clicked the delete action is executed and no record is deleted

Steps to reproduce:

# Navigate to Retail website
# Navigate to menu in the website
# Navigate to Returns in Sales dropdown
# Do not click on any checkbox before records
# Click on delete button 

Expected Result:

It should show an error that “no record is selected” and ask admin to select records that need to be deleted

Actual Result:

A message that “Are you sure“ is shown and action is executed

Supporting Document:

!image-20210908-200525.png|width=100%!",,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,RET-12,,,RET-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 8:06 PM;ug:62fe4b1e-1911-4eb8-954d-4dfb42c85878;image-20210908-200525.png;https://corporateola5.atlassian.net/secure/attachment/10003/image-20210908-200525.png,,,,,,{},,,,,,,0|i000y7:,,RET Sprint 1,,,,,,,,To Do
While editing telephone field it is accepting and saving any invalid input ,RET-126,10154,Bug,To Do,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:42 PM,08/Sep/21 8:50 PM,09/Sep/21 4:55 AM,,,0,"Description:

While editing when telephone field is updates with invalid input it saves the change without showing any error

Steps to reproduce:

# Navigate to Retail website
# Navigate to menu in the website
# Navigate to Returns in Sales dropdown
# Click on edit button in any record
# Update the the telephone field with invalid input

Expected Result:

Telephone field should not save any invalid input and show an error message 

Actual Result:

Telephone field is accepting and saving any invalid input and does not show an error message

Supporting Document:

!image-20210908-195044.png|width=100%!",,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,RET-11,,,RET-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 7:50 PM;ug:62fe4b1e-1911-4eb8-954d-4dfb42c85878;image-20210908-195044.png;https://corporateola5.atlassian.net/secure/attachment/10002/image-20210908-195044.png,,,,,,{},,,,,,,0|i000xt:,,RET Sprint 1,,,,,,,,To Do
It is able to select date in date modified field that is before the date in date added field,RET-125,10153,Bug,To Do,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 7:31 PM,08/Sep/21 8:50 PM,09/Sep/21 4:55 AM,,,0,"Description:

It is able to accept any date in date modified field that is before the date in date added field

Steps to reproduce:

# Navigate to Retail website
# Navigate to menu in the website
# Navigate to Returns in Sales dropdown
# Select any date in Date added field 
# Select any date in Date modified field that should be before the date in Date added field

Expected Result:

Date Modified field should not accept any date before date in Date Added field 

Actual Result:

Date Modified field is accepting any date before date in Date Added field

Supporting Document:

!image-20210908-193917.png|width=100%!",,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,RET-9,,,RET-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 7:39 PM;ug:62fe4b1e-1911-4eb8-954d-4dfb42c85878;image-20210908-193917.png;https://corporateola5.atlassian.net/secure/attachment/10001/image-20210908-193917.png,,,,,,{},,,,,,,0|i000xf:,,RET Sprint 1,,,,,,,,To Do
Admin is able to select date after current date,RET-124,10152,Bug,To Do,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 5:54 PM,08/Sep/21 8:51 PM,09/Sep/21 4:55 AM,,,0,"Description:

Date Added field and Date Modified field is accepting any date after current date

Steps to reproduce:

# Navigate to Retail website
#  Navigate to menu in the website
#  Navigate to Returns in Sales dropdown
# Navigate to Date fields in the page
# Select on Date added field and open the calendar widget and then select any date after the current date
# Select on Date modified field and open the calendar widget and then select any date after the current date

Expected Result:

Date Added field and Date Modified field should not accept any date after current date

Actual Result:

Date Added field and Date Modified field is accepting any date after current date

Supporting Document:

!image-20210908-191426.png|width=100%!",,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,RET-8,RET-9,,RET-52,RET-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 7:16 PM;ug:62fe4b1e-1911-4eb8-954d-4dfb42c85878;image-20210908-191426.png;https://corporateola5.atlassian.net/secure/attachment/10000/image-20210908-191426.png,,,,,,{},,,,,,,0|i000xd:,,RET Sprint 1,,,,,,,,To Do
Verify if first page buttons navigates to first page,RET-123,10151,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 11:14 AM,08/Sep/21 8:51 PM,09/Sep/21 4:55 AM,08/Sep/21 5:26 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000xb:,,RET Sprint 1,,,,,,,,Done
Verify if pervious page buttons navigates to pervious page,RET-122,10150,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 11:13 AM,08/Sep/21 8:51 PM,09/Sep/21 4:55 AM,08/Sep/21 5:26 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000x3:,,RET Sprint 1,,,,,,,,Done
Verify if last page buttons navigates to last page,RET-121,10149,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 10:55 AM,08/Sep/21 8:51 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000wv:,,RET Sprint 1,,,,,,,,Done
Verify if next page buttons navigates to next page,RET-120,10148,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 10:53 AM,08/Sep/21 8:51 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000wn:,,RET Sprint 1,,,,,,,,Done
Verify if next page button and last page button is not present on last page,RET-119,10147,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 10:52 AM,08/Sep/21 8:51 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000wf:,,RET Sprint 1,,,,,,,,Done
Verify if pervious page button and first page button is not present on first page,RET-118,10146,Test,Done,RET,Retail,software,Kirti Patekar,612ef7988bb88c006f3e36b0,,Medium,Done,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,Kirti Patekar,612ef7988bb88c006f3e36b0,08/Sep/21 10:49 AM,08/Sep/21 8:51 PM,09/Sep/21 4:55 AM,08/Sep/21 5:25 PM,,0,,,Kirti Patekar,612ef7988bb88c006f3e36b0,,,,,,,,,,,RET-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000w7:,,RET Sprint 1,,,,,,,,Done
